SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
3056_001.3,4.0,0.08,0.08,0.12,0.08,0.07,0.11,0.06,0.06,0.1
3058_000.0,4.0,0.41,0.3,0.91,0.38,0.27,0.84,0.32,0.23,0.77
3059_000.0,5.0,0.08,0.11,0.17,0.08,0.1,0.15,0.06,0.09,0.14
3059_000.1,2.0,0.67,0.39,0.68,0.62,0.36,0.63,0.51,0.31,0.57
3059_000.6,2.0,0.9,0.48,0.87,0.83,0.44,0.8,0.69,0.38,0.72
3060_000.0,5.0,0.14,0.1,0.17,0.13,0.09,0.16,0.11,0.08,0.14
3061_000.0,3.0,0.18,0.19,0.49,0.17,0.18,0.46,0.14,0.15,0.42
3061_000.5,3.0,0.16,0.18,0.46,0.15,0.16,0.42,0.12,0.14,0.39
3061_001.0,2.0,0.36,0.34,0.52,0.33,0.31,0.48,0.27,0.27,0.44
3061_001.4,2.0,0.33,0.29,0.44,0.31,0.27,0.41,0.25,0.23,0.38
3062_000.0,2.0,0.73,0.7,0.87,0.68,0.64,0.8,0.56,0.55,0.74
3062_000.3,2.0,0.64,0.63,0.82,0.59,0.58,0.76,0.49,0.49,0.7
3062_000.6,2.0,0.59,0.61,0.83,0.55,0.56,0.77,0.45,0.47,0.71
3062_000.7,2.0,0.53,0.51,0.74,0.49,0.47,0.68,0.41,0.41,0.61
3062_001.1,2.0,0.54,0.44,0.87,0.5,0.4,0.8,0.41,0.35,0.72
3062_001.2,4.0,0.51,0.43,0.62,0.47,0.39,0.57,0.39,0.34,0.51
3062_001.3,4.0,0.17,0.19,0.24,0.15,0.18,0.22,0.13,0.15,0.2
3063_000.0,5.0,0.05,0.05,0.09,0.04,0.05,0.08,0.04,0.04,0.08
3063_000.8,5.0,0.12,0.08,0.15,0.11,0.07,0.14,0.09,0.06,0.12
3064_000.0,5.0,0.45,0.22,0.95,0.41,0.2,0.9,0.34,0.17,0.83
3064_000.4,5.0,0.5,0.27,0.69,0.46,0.25,0.64,0.38,0.21,0.59
3065_000.0,3.0,0.17,0.09,0.27,0.15,0.08,0.24,0.13,0.07,0.22
3069_000.0,4.0,0.32,0.25,0.39,0.3,0.23,0.35,0.25,0.2,0.32
3069_001.1,4.0,0.22,0.22,0.33,0.2,0.2,0.3,0.17,0.18,0.27
3070_000.0,4.0,0.1,0.08,0.1,0.09,0.08,0.1,0.08,0.07,0.09
3071_000.0,4.0,0.04,0.05,0.07,0.04,0.04,0.06,0.03,0.04,0.06
3071_000.8,5.0,0.08,0.07,0.1,0.08,0.06,0.09,0.06,0.05,0.09
3071_002.1,3.0,0.25,0.28,0.46,0.23,0.26,0.42,0.19,0.22,0.39
3080_000.0,3.0,0.79,0.48,0.89,0.73,0.44,0.82,0.6,0.37,0.76
3080_000.4,3.0,1.08,0.78,1.05,1.06,0.72,1.03,0.89,0.63,0.93
3082_000.0,5.0,0.24,0.28,0.44,0.22,0.25,0.4,0.18,0.22,0.36
3084_000.0,4.0,0.61,0.57,0.99,0.56,0.53,0.96,0.46,0.46,0.86
3084_000.5,4.0,0.63,0.54,1.19,0.58,0.5,1.17,0.48,0.43,1.05
3084_000.9,4.0,0.42,0.34,0.74,0.39,0.31,0.68,0.32,0.26,0.63
3084_001.3,4.0,0.35,0.37,0.57,0.32,0.34,0.52,0.27,0.29,0.48
3084_001.7,4.0,0.46,0.34,0.58,0.42,0.31,0.53,0.35,0.26,0.49
3086_000.0,3.0,0.51,0.36,0.61,0.47,0.33,0.57,0.39,0.29,0.51
3086_000.4,5.0,0.22,0.22,0.36,0.21,0.21,0.33,0.17,0.18,0.31
3088_000.0,5.0,0.33,0.17,0.35,0.3,0.15,0.32,0.25,0.13,0.29
3090_000.0,5.0,0.35,0.19,0.38,0.32,0.18,0.35,0.26,0.15,0.32
3306_004.8,2.0,0.4,0.28,0.46,0.35,0.25,0.41,0.3,0.22,0.38
3306_005.5,2.0,0.41,0.31,0.49,0.36,0.27,0.43,0.3,0.24,0.4
3308_000.0,4.0,0.4,0.51,0.79,0.37,0.47,0.73,0.31,0.4,0.65
3308_000.5,4.0,0.82,0.7,0.91,0.75,0.65,0.86,0.63,0.56,0.78
3308_001.5,4.0,0.96,0.78,1.21,0.91,0.72,1.19,0.76,0.62,1.07
3308_002.0,4.0,1.01,0.81,1.46,0.98,0.74,1.43,0.82,0.65,1.29
3308_002.5,4.0,1.11,0.89,1.69,1.09,0.82,1.65,0.91,0.71,1.49
3308_002.7,4.0,1.28,0.93,1.44,1.26,0.89,1.41,1.05,0.77,1.27
3310_000.0,4.0,0.64,0.27,0.99,0.59,0.25,0.96,0.49,0.22,0.86
3310_000.5,4.0,0.67,0.38,0.82,0.62,0.35,0.75,0.51,0.3,0.69
3311_000.0,4.0,0.43,0.36,0.79,0.4,0.33,0.73,0.33,0.29,0.65
3315_000.0,4.0,1.26,0.9,1.79,1.24,0.86,1.75,1.03,0.74,1.57
3315_000.6,4.0,1.33,0.73,1.6,1.3,0.67,1.57,1.08,0.58,1.41
3316_000.0,4.0,0.6,0.5,0.77,0.55,0.46,0.71,0.46,0.4,0.64
