SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0015_250.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,6715,10604,11167,12138,0.77,0.82,0.89
0015_251.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,3806,8981,9972,10656,0.84,0.93,0.98
0015_251.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,3806,7910,8880,9653,0.75,0.85,0.92
0015_251.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,3806,11693,12313,12734,1.18,1.24,1.26
0015_252.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,4320,9501,10549,11261,0.83,0.92,0.97
0015_252.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,4320,8300,9318,10128,0.65,0.73,0.79
0015_252.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,4320,12194,12840,13293,1.01,1.07,1.09
0015_253.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,4320,10459,11612,12150,0.98,1.09,1.12
0015_253.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,4320,9185,10312,11208,0.72,0.81,0.88
0015_253.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,4320,12427,13087,13549,1.03,1.08,1.1
0015_255.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,4320,12313,13671,14257,1.26,1.4,1.43
0015_255.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,4320,10548,11841,12465,0.84,0.94,0.99
0015_255.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,4320,14207,14959,15265,1.19,1.26,1.28
0015_257.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,6406,12340,13702,14339,1.45,1.61,1.64
0015_257.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,6406,10841,12170,12565,0.98,1.1,1.12
0015_257.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,6406,14490,15258,15725,1.23,1.29,1.32
0015_257.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,6,8636,12742,14148,15091,0.81,0.9,0.94
0015_257.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,6,8636,12109,13594,14775,0.75,0.84,0.91
0015_257.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,6,8636,16793,17685,18615,1.09,1.15,1.17
0015_258.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7546,14368,15951,17025,0.82,0.91,0.96
0015_258.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7546,13274,14901,16197,0.62,0.7,0.76
0015_258.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7546,18315,19284,20651,0.86,0.9,0.95
0015_260.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7406,15130,16799,17622,0.92,1.03,1.05
0015_260.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7406,13769,15457,16801,0.7,0.79,0.85
0015_260.0,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7406,18781,19776,20950,0.92,0.97,1.0
0015_261.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7546,14732,17148,18883,0.85,0.98,1.06
0015_261.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7546,13319,15135,17199,0.65,0.73,0.83
0015_261.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7546,18158,19022,21259,0.91,0.95,1.04
0015_263.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7324,15551,17266,18110,0.95,1.06,1.08
0015_263.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7324,13570,15232,16325,0.78,0.88,0.93
0015_263.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7324,19595,20633,21248,1.14,1.2,1.23
0015_264.2,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7324,15551,17266,18110,0.95,1.06,1.08
0015_264.2,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7324,13570,15232,16325,0.78,0.88,0.93
0015_264.2,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7324,19595,20633,21248,1.14,1.2,1.23
0015_265.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7266,16876,18738,19700,0.97,1.07,1.1
0015_265.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7266,15226,17093,18030,0.77,0.86,0.91
0015_265.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7266,20865,21971,22645,1.09,1.15,1.18
0015_266.5,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7266,17327,19239,19963,0.96,1.07,1.09
0015_266.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7266,16620,18659,19485,0.85,0.95,0.98
0015_266.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,4,7266,21054,22170,22847,1.12,1.18,1.2
0015_267.0,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,7266,17327,19239,19963,0.96,1.07,1.09
0015_267.0,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,7266,16620,18659,19485,0.85,0.95,0.98
